geographic_unit_fips,baseline_dem,baseline_gop,baseline_turnout
48349,0.257545492779506,0.7271065760629387,0.44369168232069717
48351,0.21835225897789845,0.7710218333661408,0.42485443959243085
48353,0.2233677271715855,0.7521357531927871,0.38795411089866155
48355,0.4622044154606948,0.516637268546279,0.36843281738359757
48357,0.08990773170215803,0.8941393598899957,0.4556985990155244
48359,0.08011630838804908,0.9067533703016573,0.6138088012139605
48361,0.18604498102909106,0.800193419965405,0.427505001057134
48363,0.17421514863018556,0.8105073892124955,0.4475132877752468
48365,0.18573304582313685,0.8060864913762728,0.5068747461855311
48367,0.15757177901494485,0.8236863120664224,0.5456309713375797
48369,0.18999870196450683,0.7976820763472694,0.37486258702821545
48371,0.34597523704619454,0.6350132023602033,0.3288275603116493
48373,0.22239292040689496,0.763210845253069,0.4388132525379712
48375,0.2766718934727117,0.6977588280429305,0.32746384214205065
48377,0.6815371657457321,0.2948403508350117,0.5461157024793388
48379,0.1468313402893002,0.8406383033694912,0.4678840641257034
48381,0.16782081296948037,0.8096604006430397,0.48465901120262933
48383,0.16927478998204393,0.8145000920055225,0.37040319007532124
48385,0.1584460092012463,0.8281559739971541,0.6067415730337079
48387,0.2336222179335083,0.7567664847643879,0.45738606872210114
48389,0.48777605446376643,0.4956673501971329,0.23299723210755238
48391,0.3384262437148471,0.6475612002980337,0.46575853704049264
48393,0.04152148561389807,0.9460375700965363,0.7816666666666666
48395,0.317647010234448,0.6696058751966604,0.497533418204965
48397,0.25416723171566163,0.7223883593854077,0.5507390988268499
48399,0.12309088529459065,0.8636362760781956,0.428346042597949
48401,0.2153280947592007,0.7708595545609057,0.4139653414882773
48403,0.1364830069037311,0.8560160037354716,0.46482677627715796
48405,0.2627892940453532,0.7301182264351016,0.4703668861712135
48407,0.19909402928117514,0.7873670611473298,0.4360112097150864
48409,0.3556562108636728,0.6264591517288295,0.3867351704810836
48411,0.12001772132621275,0.8701639470717051,0.4602145730889584
48413,0.19779332594461851,0.7880517099228437,0.48333333333333334
48415,0.14404068319693636,0.8395298958356626,0.3555266156601009
48417,0.07803810531753602,0.9118645939975831,0.522145469321414
48419,0.20744715265788083,0.7837431446980692,0.4408721575963056
48421,0.10041145942092511,0.8724810775291565,0.41158690176322416
48423,0.2738950926175493,0.7067596912702129,0.47564175206937326
